Brand,Resolution,Size ,Selling Price,Original Price,Operating System,Rating,Big,Expensive
TCL ,HD LED,32,14339,22990,Android,4.3,0,0
LG ,Ultra HD LED,48,89999,169990,WebOS,2.7,0,1
TCL ,Ultra HD LED,65,146999,299990,Android,,1,0
LG ,Ultra HD LED,43,54990,54990,WebOS,4.4,0,0
LG ,Ultra HD LED,55,64999,93990,WebOS,4.3,1,0
LG ,HD LED,32,28401,30990,WebOS,4.4,0,0
Sansui ,Full HD LED,43,27490,33990,Android,4.1,0,0
LG ,Ultra HD LED,43,43599,59990,WebOS,,0,0
SAMSUNG,Ultra HD LED,55,59990,88900,Tizen,,1,0
LG ,Ultra HD LED,55,76197,129990,WebOS,4.8,1,1
realme ,Full HD LED,32,17999,23999,Android,4.2,0,0
Micromax,Full HD LED,43,22999,26990,Android,3.9,0,0
SAMSUNG,QLED Ultra HD,55,159500,244900,Tizen,4.4,1,0
Micromax,Full HD LED,43,23990,33000,Android,4.3,0,0
LG ,Ultra HD LED,43,47499,75343,WebOS,4.5,0,0
LG ,Ultra HD LED,43,46969,64990,WebOS,,0,0
TCL ,Full HD LED,75,144790,259990,Android,4.3,1,0
LG ,HD LED,32,22200,25999,WebOS,4.3,0,0
Candes ,HD LED,24,9999,17990,Android,4.1,0,0
SAMSUNG,Ultra HD LED,50,55790,69900,Tizen,,1,0
SAMSUNG,QLED Ultra HD,55,89390,134900,Tizen,,1,1
LG ,Ultra HD LED,43,46590,59990,WebOS,4.5,0,0
LG ,Full HD LED,55,103990,103990,WebOS,4.2,1,1
SAMSUNG,Ultra HD LED,65,85990,116900,Tizen,4.3,1,1
SAMSUNG,QLED Ultra HD,65,318700,399900,Tizen,,1,0
SAMSUNG,Ultra HD LED,43,44870,54900,Tizen,,0,0
SAMSUNG,Ultra HD LED,43,38999,48900,Tizen,4.3,0,0
Mi ,HD LED,32,14999,14999,Android,4.4,0,0
LG ,Ultra HD LED,55,57200,84990,WebOS,,1,0
LG ,Ultra HD LED,65,139999,254990,WebOS,,1,0
Dyanora,Full HD LED,42,18499,32999,Android,,0,0
SONY ,Ultra HD LED,65,169900,239900,Linux,,1,0
iFFALCON by TCL,QLED Ultra HD,65,84999,229990,Android,4.3,1,0
SONY ,Ultra HD LED,55,102290,139900,Android,,1,1
Dyanora,HD LED,32,10999,15999,Android,4.3,0,0
LG ,Ultra HD LED,65,199999,349990,WebOS,4.4,1,0
LG ,Ultra HD LED,55,99999,166990,WebOS,,1,1
LG ,Ultra HD LED,55,155879,226990,WebOS,,1,0
LG ,Ultra HD LED,65,279990,399990,WebOS,,1,0
SAMSUNG,Ultra HD LED,55,64299,86900,Tizen,4.6,1,0
SONY ,Ultra HD LED,75,199491,299900,Linux,4.7,1,0
SAMSUNG,QLED Ultra HD,65,224999,279900,Tizen,5.0,1,0
SAMSUNG,Ultra HD LED,55,104900,104900,Tizen,4.4,1,1
LG ,Ultra HD LED,43,43599,59990,WebOS,,0,0
Hisense,HD LED,32,18490,24990,Android,,0,0
LG ,Full HD LED,43,36499,41990,WebOS,4.4,0,0
SAMSUNG,QLED Ultra HD,55,144990,199990,Tizen,,1,1
LG ,Ultra HD LED,55,128100,209990,WebOS,,1,0
TCL ,Ultra HD LED,55,55499,89900,Android,4.3,1,0
Micromax,Ultra HD LED,49,42490,59990,Android,4.2,0,0
LG ,Ultra HD LED,55,63990,91990,WebOS,4.7,1,0
SAMSUNG,QLED Ultra HD,55,163738,211900,Tizen,,1,0
Blaupunkt,Ultra HD LED,65,55999,75999,Android,,1,0
iFFALCON by TCL,Ultra HD LED,55,36999,59990,Android,4.3,1,0
SONY ,Ultra HD LED,65,113999,179900,Android,4.4,1,1
Haier ,Full HD LED,42,28240,43990,Android,5.0,0,0
SAMSUNG,Ultra HD LED,65,295900,295900,Tizen,,1,0
SONY ,Ultra HD LED,65,469999,529900,Android,5.0,1,0
Panasonic,Ultra HD LED,55,62738,82990,Linux,,1,0
SONY ,Ultra HD LED,75,259999,499900,Android,3.7,1,0
LG ,Ultra HD LED,65,249999,409990,WebOS,4.8,1,0
TOSHIBA,Ultra HD LED,50,33999,46990,VIDAA,4.3,1,0
LG ,Full HD LED,49,77990,77990,WebOS,4.8,0,0
TOSHIBA,HD LED,32,17499,18990,VIDAA,4.3,0,0
iFFALCON by TCL,Ultra HD LED,75,149999,239999,Android,4.2,1,0
Panasonic,Full HD LED,32,22990,24990,Android,4.2,0,0
LG ,Ultra HD LED,65,93999,129990,WebOS,4.5,1,1
SAMSUNG,Ultra HD LED,50,53200,64990,Tizen,,1,0
T-Series,HD LED,32,12499,14990,Linux,3.7,0,0
SAMSUNG,QLED Ultra HD,65,148990,259900,Tizen,,1,0
SAMSUNG,Ultra HD LED,43,49990,62900,Tizen,,0,0
Onida,Full HD LED,40,17999,29990,Android,4.1,0,0
LG ,Ultra HD LED,65,262999,364990,WebOS,,1,0
LG ,Ultra HD LED,55,149999,229990,WebOS,4.3,1,0
LG ,Ultra HD LED,65,224999,379990,WebOS,5.0,1,0
Haier ,Ultra HD LED,43,34999,43990,Android,4.1,0,0
SONY ,HD LED,32,26374,29800,Android,4.4,0,0
SONY ,Full HD LED,50,60291,64900,Linux,4.5,1,0
Sansui ,Ultra HD LED,55,119990,119990,Android,4.3,1,1
TCL ,Ultra HD LED,55,47499,79990,Android,3.9,1,0
Vu,Ultra HD LED,55,41999,58000,Android,4.4,1,0
RGL ,HD LED,24,9990,12990,HomeOS,4.0,0,0
SAMSUNG,Ultra HD LED,65,294900,294900,Tizen,4.7,1,0
LG ,Ultra HD LED,70,94990,169990,WebOS,,1,1
Mi ,HD LED,32,15999,15999,Android,4.4,0,0
KODAK ,HD LED,32,11499,20990,Android,4.3,0,0
SAMSUNG,Full HD LED,43,38990,56945,Tizen,,0,0
SONY ,Ultra HD LED,65,259999,449900,Android,4.3,1,0
SAMSUNG,Ultra HD LED,65,159500,234900,Tizen,4.6,1,0
LG ,Ultra HD LED,65,164999,264990,WebOS,4.7,1,0
SONY ,Ultra HD LED,65,149999,244900,Android,4.7,1,0
SAMSUNG,QLED Ultra HD,49,74990,129900,Tizen,4.7,0,1
PHILIPS,Full HD LED,43,28999,35990,Linux,4.1,0,0
Onida,Ultra HD LED,58,53199,79990,Android,4.2,1,0
SAMSUNG,Ultra HD LED,75,169990,254900,Tizen,,1,0
SAMSUNG,QLED Ultra HD,55,84999,133900,Tizen,4.6,1,1
LG ,Ultra HD LED,55,124999,177990,WebOS,4.4,1,1
LG ,Ultra HD LED,75,385099,549990,WebOS,,1,0
Candes ,HD LED,32,11299,22690,Android,3.9,0,0
SAMSUNG,Ultra HD LED,49,179900,179900,Tizen,4.3,0,1
SAMSUNG,Full HD LED,43,62900,62900,Tizen,3.9,0,0
SONY ,Ultra HD LED,55,80799,94900,Linux,4.6,1,0
SONY ,Ultra HD LED,49,64599,76900,Android,4.6,0,0
Dyanora,HD LED,32,12499,18999,Android,,0,0
MOTOROLA,Ultra HD LED,43,30999,46050,Android,4.3,0,0
SAMSUNG,QLED Ultra HD,65,470900,470900,Tizen,,1,0
SONY ,Ultra HD LED,55,129990,155990,Linux,,1,1
SAMSUNG,Ultra HD LED,55,61890,79400,Tizen,,1,0
SAMSUNG,QLED Ultra HD,65,199990,284990,Tizen,,1,0
SAMSUNG,Ultra HD LED,55,204900,204900,Tizen,3.0,1,0
TCL ,Full HD LED,40,26990,39990,Android,4.2,0,0
LG ,Ultra HD LED,55,64990,102990,WebOS,4.3,1,1
SAMSUNG,QLED Ultra HD,55,314900,314900,Tizen,,1,0
Sansui ,Ultra HD LED,55,69200,69200,Android,3.7,1,0
Lloyd ,Ultra HD LED,65,74999,153990,Linux,4.8,1,1
SONY ,Ultra HD LED,55,109999,164900,Android,3.6,1,1
Thomson,HD LED,32,16999,16999,Android,4.1,0,0
LG ,Ultra HD LED,55,61999,94990,WebOS,,1,0
PHILIPS,HD LED,32,18999,20990,Android,4.1,0,0
SAMSUNG,Ultra HD LED,49,64499,99900,Tizen,4.5,0,0
LG ,Ultra HD LED,55,81999,149990,WebOS,4.8,1,1
Panasonic,HD LED,32,28399,28400,Android,4.2,0,0
LG ,Ultra HD LED,65,199999,349990,WebOS,,1,0
SAMSUNG,Ultra HD LED,65,89990,124990,Tizen,,1,1
LumX ,Full HD LED,43,21990,46900,Android,,0,0
SAMSUNG,QLED Ultra HD,43,59700,82400,Tizen,,0,0
LG ,Ultra HD LED,65,269999,339990,WebOS,,1,0
SAMSUNG,Ultra HD LED,75,239999,394900,Tizen,,1,0
SAMSUNG,Ultra HD LED,55,241900,241900,Tizen,3.9,1,0
SAMSUNG,Ultra HD LED,65,122299,209900,Tizen,4.7,1,0
SONY ,Ultra HD LED,55,164999,329900,Android,4.7,1,0
LG ,Full HD LED,49,74990,74990,WebOS,4.5,0,0
SONY ,Ultra HD LED,65,179999,224900,Android,4.9,1,0
SAMSUNG,QLED Ultra HD,65,258999,419900,Tizen,,1,0
SONY ,Ultra HD LED,65,112100,179990,Android,4.7,1,1
SONY ,HD LED,32,26990,29900,Linux,4.4,0,0
Sansui ,HD LED,32,21499,22990,Android,,0,0
LG ,Full HD LED,43,38899,45900,WebOS,3.7,0,0
SAMSUNG,Ultra HD LED,55,62980,80000,Tizen,,1,0
LG ,Ultra HD LED,65,89978,149990,WebOS,,1,1
Panasonic,Ultra HD LED,55,50499,65490,Linux,,1,0
TCL ,Ultra HD LED,65,86091,109990,Android,4.3,1,1
SAMSUNG,Full HD LED,55,118900,118900,Tizen,4.0,1,1
SONY ,Ultra HD LED,50,81990,99900,Android,4.7,1,0
SAMSUNG,Ultra HD LED,49,129900,129900,Tizen,4.4,0,1
LG ,Full HD LED,49,64900,64900,WebOS,4.2,0,0
Croma ,Ultra HD LED,55,50990,75000,FireTV OS,,1,0
SAMSUNG,HD LED,32,18490,22500,Tizen,4.0,0,0
LG ,Ultra HD LED,55,114999,189990,WebOS,2.7,1,1
Candes ,Full HD LED,40,15999,29990,Android,4.1,0,0
SAMSUNG,Ultra HD LED,65,89990,115990,Tizen,,1,1
PHILIPS,Ultra HD LED,50,37999,105990,Android,4.2,1,1
iFFALCON by TCL,Ultra HD LED,55,43999,73990,Android,4.4,1,0
SAMSUNG,Ultra HD LED,50,125900,125900,Tizen,4.3,1,1
Micromax,HD LED,32,15990,22990,Android,4.2,0,0
LG ,Ultra HD LED,49,80990,80990,WebOS,4.5,0,0
LG ,Ultra HD LED,65,149999,219990,WebOS,5.0,1,0
LG ,Full HD LED,49,67990,67990,WebOS,4.5,0,0
SAMSUNG,Ultra HD LED,50,51990,67069,Tizen,4.0,1,0
SAMSUNG,QLED Ultra HD,55,274900,274900,Tizen,5.0,1,0
LG ,Ultra HD LED,55,324990,324990,WebOS,4.6,1,0
Onix ,Ultra HD LED,50,49990,59990,Android,,1,0
SAMSUNG,QLED Ultra HD,50,69990,99990,Tizen,4.0,1,0
SAMSUNG,Full HD LED,43,45785,45900,Tizen,,0,0
SAMSUNG,QLED Ultra HD,55,121999,143900,Tizen,4.3,1,1
Croma ,HD LED,32,14990,25000,FireTV OS,,0,0
Acer,HD LED,32,14999,22990,Android,3.9,0,0
SAMSUNG,Full HD LED,48,49990,77900,Tizen,3.7,0,0
SAMSUNG,Ultra HD LED,75,159990,266900,Tizen,,1,0
iFFALCON by TCL,QLED Ultra HD,65,156990,156990,Android,,1,1
SAMSUNG,Ultra HD LED,43,44990,78000,Tizen,,0,0
SAMSUNG,QLED Ultra HD,65,162900,209900,Tizen,,1,0
SAMSUNG,Ultra HD LED,55,145900,145900,Tizen,4.8,1,1
LG ,Ultra HD LED,65,109999,209990,WebOS,5.0,1,0
Dyanora,Ultra HD LED,50,27599,40999,Android,,1,0
IMPEX ,HD LED,32,28690,28690,HomeOS,,0,0
SAMSUNG,Ultra HD LED,43,89850,89850,Tizen,4.1,0,0
LG ,Ultra HD LED,65,349999,499990,WebOS,,1,0
SAMSUNG,QLED Ultra HD,55,139990,209900,Tizen,,1,0
SONY ,Ultra HD LED,65,142499,199900,Android,,1,1
SAMSUNG,Ultra HD LED,65,167199,269900,Tizen,,1,0
IMPEX ,HD LED,39,29079,39990,HomeOS,4.2,0,0
LG ,Ultra HD LED,49,120989,120990,WebOS,4.4,0,1
Croma ,Full HD LED,43,31990,40000,Android,,0,0
SONY ,Ultra HD LED,43,63990,72900,Linux,4.4,0,0
SAMSUNG,QLED Ultra HD,55,105990,162900,Tizen,,1,1
IMPEX ,HD LED,40,28399,45990,HomeOS,,0,0
Vu,QLED Ultra HD,85,259999,350000,Android,4.4,1,0
SAMSUNG,Ultra HD LED,55,154900,154900,Tizen,5.0,1,1
Candes ,Full HD LED,40,15999,29990,Android,4.1,0,0
SONY ,Ultra HD LED,50,72715,92900,Android,,1,0
SAMSUNG,Full HD LED,49,65999,82500,Tizen,4.3,0,0
SAMSUNG,QLED Ultra HD,65,144900,229990,Tizen,,1,0
LG ,Ultra HD LED,65,229000,359990,WebOS,,1,0
TCL ,HD LED,32,15000,29990,Android,4.2,0,0
Sansui ,Ultra HD LED,43,29490,32290,Android,4.1,0,0
SAMSUNG,QLED Ultra HD,65,122290,222900,Tizen,4.5,1,0
SAMSUNG,Ultra HD LED,55,284900,284900,Tizen,3.6,1,0
SAMSUNG,Ultra HD LED,65,103990,135900,Tizen,,1,1
LG ,Ultra HD LED,55,97990,139989,WebOS,,1,1
SAMSUNG,HD LED,24,15200,15200,Tizen,4.2,0,0
Vu,Ultra HD LED,55,46899,75000,Android,4.4,1,0
Candes ,HD LED,24,9999,17990,Android,4.1,0,0
Hisense,HD LED,32,17499,17990,Android,4.2,0,0
Onida,HD LED,39,23990,31990,Android,3.9,0,0
SAMSUNG,Full HD LED,49,45700,66900,Tizen,4.2,0,0
Candes ,Full HD LED,40,15999,29990,Android,4.1,0,0
SAMSUNG,Ultra HD LED,49,146900,146900,Tizen,4.5,0,1
LG ,Full HD LED,49,40000,65900,Linux,4.2,0,0
BPL ,Ultra HD LED,55,50490,73000,Android,,1,0
Dyanora,HD LED,24,7999,10999,Android,4.3,0,0
SAMSUNG,HD LED,32,19599,25900,Tizen,4.3,0,0
SAMSUNG,QLED Ultra HD,65,219990,257900,Tizen,,1,0
SAMSUNG,QLED Ultra HD,55,89990,163900,Tizen,4.7,1,1
Croma ,Ultra HD LED,43,35990,50000,FireTV OS,5.0,0,0
CloudWalker,Ultra HD LED,65,59999,94990,Android,4.0,1,0
TCL ,QLED Ultra HD,55,47990,99990,Android,,1,0
MarQ by Flipkart,Ultra HD LED,65,64999,94499,Android,4.4,1,0
LG ,Ultra HD LED,75,189999,284990,WebOS,3.0,1,0
Panasonic,Ultra HD LED,65,86890,93500,Linux,,1,0
SAMSUNG,QLED Ultra HD,50,69744,99900,Tizen,,1,0
Nokia ,Ultra HD LED,65,57999,79999,Android,4.3,1,0
Thomson,HD LED,32,13499,15499,Android,4.4,0,0
SAMSUNG,Full HD LED,43,36990,38900,Tizen,4.1,0,0
Thomson,Full HD LED,43,20499,25999,Android,4.4,0,0
Blaupunkt,HD LED,32,12999,19499,Android,4.4,0,0
Lloyd ,HD LED,32,20990,25900,Linux,4.8,0,0
Oxygen ,Ultra HD LED,50,35990,52990,Android,,1,0
Panasonic,Ultra HD LED,65,90314,119990,Linux,,1,1
Croma ,HD LED,32,20990,30000,Android,3.7,0,0
Croma ,Full HD LED,43,30990,40000,FireTV OS,,0,0
Micromax,HD LED,32,23989,23990,Android,4.2,0,0
SAMSUNG,HD LED,32,23000,25900,Tizen,4.4,0,0
Power Guard,HD LED,32,15499,24990,Android,,0,0
Akai ,Ultra HD LED,65,72940,124990,Android,,1,1
VG ,Ultra HD LED,43,24990,51000,Android,,0,0
Croma ,HD LED,32,19490,25000,FireTV OS,,0,0
Infinix,Full HD LED,40,18999,26990,Android,4.2,0,0
Adsun,HD LED,24,6799,10999,Android,3.8,0,0
TCL ,Ultra HD LED,65,68990,127445,Android,4.5,1,1
KODAK ,Full HD LED,43,22499,24999,Android,4.4,0,0
MOTOROLA,Full HD LED,43,27999,35500,Android,4.3,0,0
Onix ,Full HD LED,43,29990,38790,Android,4.9,0,0
Sun King,HD LED,32,24999,49998,,,0,0
